Timestamp,Status,Response Time,Client IP,Method,Endpoint,Response Time (s)
2025/02/19 - 06:37:46,200,23.690719181s,192.168.0.1,POST,/api/chat,23.69071918
2025/02/19 - 06:37:49,200,359.03탎,192.168.0.1,GET,/api/tags,0.00035903
2025/02/19 - 06:37:49,200,20.34탎,192.168.0.1,GET,/api/version,0.00002034
2025/02/19 - 06:37:51,200,24.274944607s,10.61.248.15,POST,/api/generate,24.27494461
2025/02/19 - 06:37:56,200,10.62126725s,172.16.34.69,POST,/api/generate,10.62126725
2025/02/19 - 06:38:03,200,34.468951928s,172.16.34.130,POST,/api/generate,34.46895193
2025/02/19 - 06:38:05,200,5.149906058s,172.16.34.69,POST,/api/generate,5.149906058
2025/02/19 - 06:38:14,200,380.05탎,192.168.0.1,GET,/api/tags,0.00038005
2025/02/19 - 06:38:14,200,21.64탎,192.168.0.1,GET,/api/version,0.00002164
2025/02/19 - 06:38:15,200,28.998458625s,192.168.0.1,POST,/api/chat,28.99845863
2025/02/19 - 06:38:17,499,14.198654122s,10.61.248.15,POST,/api/generate,14.19865412
2025/02/19 - 06:38:21,200,12.152969826s,172.16.34.69,POST,/api/generate,12.15296983
2025/02/19 - 06:38:24,200,10.337466689s,10.61.248.15,POST,/api/generate,10.33746669
2025/02/19 - 06:38:24,200,3.293886051s,172.16.34.69,POST,/api/generate,3.293886051
2025/02/19 - 06:38:26,200,11.820642ms,172.16.34.136,POST,/api/show,0.011820642
2025/02/19 - 06:38:26,200,13.822589ms,172.16.34.136,POST,/api/show,0.013822589
2025/02/19 - 06:38:27,200,3.020130956s,172.16.34.69,POST,/api/generate,3.020130956
2025/02/19 - 06:38:30,200,33.228231ms,172.16.34.69,POST,/api/generate,0.033228231
2025/02/19 - 06:38:30,200,48.235048ms,172.16.34.69,POST,/api/generate,0.048235048
2025/02/19 - 06:38:32,200,8.369291539s,10.61.248.15,POST,/api/generate,8.369291539
2025/02/19 - 06:38:33,200,538.155744ms,172.16.34.69,POST,/api/generate,0.538155744
2025/02/19 - 06:38:37,200,1.480141272s,172.16.34.69,POST,/api/generate,1.480141272
2025/02/19 - 06:38:37,200,147.591652ms,10.61.248.15,POST,/api/generate,0.147591652
2025/02/19 - 06:38:38,200,228.573752ms,172.16.34.69,POST,/api/generate,0.228573752
2025/02/19 - 06:38:46,200,1.864857853s,172.16.34.69,POST,/api/generate,1.864857853
2025/02/19 - 06:38:56,200,7.953956183s,172.16.34.69,POST,/api/generate,7.953956183
2025/02/19 - 06:39:01,200,3.05068992s,172.16.34.69,POST,/api/generate,3.05068992
2025/02/19 - 06:39:01,200,14.396179ms,172.16.34.69,POST,/api/generate,0.014396179
2025/02/19 - 06:39:05,200,4.257102367s,172.16.34.69,POST,/api/generate,4.257102367
2025/02/19 - 06:39:09,200,12.230047511s,192.168.0.1,POST,/api/chat,12.23004751
2025/02/19 - 06:39:09,200,1.539379245s,172.16.34.69,POST,/api/generate,1.539379245
2025/02/19 - 06:39:13,500,4.474003527s,192.168.0.1,POST,/api/chat,4.474003527
2025/02/19 - 06:39:14,499,5.01976044s,172.16.34.69,POST,/api/generate,5.01976044
2025/02/19 - 06:39:20,499,6.531537585s,172.16.34.69,POST,/api/generate,6.531537585
2025/02/19 - 06:39:27,499,11.449437146s,172.16.34.69,POST,/api/generate,11.44943715
2025/02/19 - 06:39:33,499,7.817265455s,172.16.34.69,POST,/api/generate,7.817265455
2025/02/19 - 06:39:40,200,389.19탎,192.168.0.1,GET,/api/tags,0.00038919
2025/02/19 - 06:39:40,499,8.640050168s,172.16.34.69,POST,/api/generate,8.640050168
2025/02/19 - 06:39:40,200,19.539탎,192.168.0.1,GET,/api/version,0.000019539
2025/02/19 - 06:39:44,499,4.541909607s,172.16.34.69,POST,/api/generate,4.541909607
2025/02/19 - 06:39:45,200,6.489903527s,192.168.0.1,POST,/api/chat,6.489903527
2025/02/19 - 06:39:52,499,7.421423409s,172.16.34.69,POST,/api/generate,7.421423409
2025/02/19 - 06:39:54,200,19.23탎,192.168.0.1,GET,/api/version,0.00001923
2025/02/19 - 06:39:54,499,2.67850958s,172.16.34.69,POST,/api/generate,2.67850958
2025/02/19 - 06:39:54,200,21.835690083s,192.168.0.1,POST,/api/chat,21.83569008
2025/02/19 - 06:39:55,200,22.199426315s,192.168.0.1,POST,/api/chat,22.19942632
2025/02/19 - 06:39:58,499,5.760255425s,172.16.34.69,POST,/api/generate,5.760255425
2025/02/19 - 06:39:59,200,16.86탎,192.168.0.1,GET,/api/version,0.00001686
2025/02/19 - 06:40:01,200,15.54탎,192.168.0.1,GET,/api/version,0.00001554
2025/02/19 - 06:40:03,200,17.12탎,192.168.0.1,GET,/api/version,0.00001712
2025/02/19 - 06:40:04,499,5.746107937s,172.16.34.69,POST,/api/generate,5.746107937
2025/02/19 - 06:40:04,200,20.4탎,192.168.0.1,GET,/api/version,0.0000204
2025/02/19 - 06:40:05,200,19.305135073s,192.168.0.1,POST,/api/chat,19.30513507
2025/02/19 - 06:40:10,499,7.111280319s,172.16.34.69,POST,/api/generate,7.111280319
2025/02/19 - 06:40:17,200,12.040907391s,192.168.0.1,POST,/api/chat,12.04090739
2025/02/19 - 06:40:21,200,15.949722274s,10.61.248.15,POST,/api/generate,15.94972227
2025/02/19 - 06:40:27,200,21.793156605s,192.168.0.1,POST,/api/chat,21.79315661
2025/02/19 - 06:40:27,499,3.437979478s,172.16.34.69,POST,/api/generate,3.437979478
2025/02/19 - 06:40:32,499,2.694041488s,172.16.34.69,POST,/api/generate,2.694041488
2025/02/19 - 06:40:34,200,6.906072171s,192.168.0.1,POST,/api/chat,6.906072171
2025/02/19 - 06:40:35,200,16.84탎,192.168.0.1,GET,/api/version,0.00001684
2025/02/19 - 06:40:36,499,3.615660066s,172.16.34.69,POST,/api/generate,3.615660066
2025/02/19 - 06:40:39,200,29.252745389s,192.168.0.1,POST,/api/chat,29.25274539
2025/02/19 - 06:40:39,499,2.78685276s,172.16.34.69,POST,/api/generate,2.78685276
2025/02/19 - 06:40:39,200,14.794778ms,172.16.34.69,POST,/api/generate,0.014794778
2025/02/19 - 06:40:45,200,5.36457581s,192.168.0.1,POST,/api/chat,5.36457581
